Film,U.S. release date,Prod. Comp.
Iron Man 2,7-May-10,Marvel Studios
Thor,6-May-11,Marvel Studios
Captain America: The First Avenger,22-Jul-11,Marvel Studios
Marvel's The Avengers,4-May-12,Marvel Studios
Iron Man 3,3-May-13,Marvel Studios
Thor: The Dark World,8-Nov-13,Marvel Studios
Captain America: The Winter Soldier,4-Apr-14,Marvel Studios
Guardians of the Galaxy,1-Aug-14,Marvel Studios
Avengers: Age of Ultron,1-May-15,Marvel Studios
Ant-Man,17-Jul-15,Marvel Studios
Captain America: Civil War,6-May-16,Marvel Studios
Doctor Strange,4-Nov-16,Marvel Studios
Guardians of the Galaxy Vol. 2,5-May-17,Marvel Studios
Spider-Man: Homecoming,7-Jul-17,Marvel Studios
Thor: Ragnarok,3-Nov-17,Marvel Studios
Black Panther,16-Feb-18,Marvel Studios
Avengers: Infinity War,27-Apr-18,Marvel Studios
Ant-Man and the Wasp,6-Jul-18,Marvel Studios
Captain Marvel,8-Mar-19,Marvel Studios
Avengers: Endgame,26-Apr-19,Marvel Studios
Spider-Man: Far From Home,2-Jul-19,Marvel Studios
